"Id","Subject","OwnerId","ActivityDate","CompletedDateTime","CreatedDate","Status","Number_of_days_overdue__c","Task_Category__c"
"00TOJ00000dTJYk2AO","Email: Your call insights are ready! Meeting: John and Mary Kirton: MD (2025-08-07, 1:00 p.m.)","005OJ0000085oqnYAA","2025-08-07","2025-08-07T17:46:22.000Z","2025-08-07T17:46:22.000Z","Completed","0.0",""
"00TOJ00000dTMGh2AO","Email: Your call insights are ready! Trade and Settlement manual Part 3 (2025-08-07, 1:00 p.m.)","005OJ0000085oqnYAA","2025-08-07","2025-08-07T17:31:03.000Z","2025-08-07T17:31:03.000Z","Completed","0.0",""
"00TOJ00000dV0aM2AS","Email: Your call insights are ready! GRD & MD (2025-08-07, 5:30 p.m.)","005OJ0000085oqnYAA","2025-08-07","2025-08-07T22:23:04.000Z","2025-08-07T22:23:04.000Z","Completed","0.0",""
"00TOJ00000dgGQ62AM","Email: Your call insights are ready! McCarthy re; health book (2025-08-11, 9:00 a.m.)","005OJ0000085oqnYAA","2025-08-11","2025-08-11T13:35:04.000Z","2025-08-11T13:35:04.000Z","Completed","0.0",""
"00TOJ00000drFH32AM","Email: Your call insights are ready! Investment Team (2025-08-13, 10:00 a.m.)","005OJ0000085oqnYAA","2025-08-13","2025-08-13T14:31:59.000Z","2025-08-13T14:31:59.000Z","Completed","0.0",""
"00TOJ00000e1QPg2AM","Email: Your call insights are ready! McCarthy re; health book (2025-08-15, 9:00 a.m.)","005OJ0000085oqnYAA","2025-08-15","2025-08-15T13:35:28.000Z","2025-08-15T13:35:28.000Z","Completed","0.0",""
"00TOJ00000eWKuJ2AW","Email: Your call insights are ready! McCarthy re; health book (2025-08-22, 9:00 a.m.)","005OJ0000085oqnYAA","2025-08-22","2025-08-22T13:36:35.000Z","2025-08-22T13:36:35.000Z","Completed","0.0",""
"00TOJ00000etQ1H2AU","Email: Your call insights are ready! Investment Team (2025-08-27, 1:00 p.m.)","005OJ0000085oqnYAA","2025-08-27","2025-08-27T18:01:52.000Z","2025-08-27T18:01:52.000Z","Completed","0.0",""
"00TOJ00000f25aJ2AQ","Email: Your call insights are ready! McCarthy re; health book (2025-08-29, 9:00 a.m.)","005OJ0000085oqnYAA","2025-08-29","2025-08-29T13:42:05.000Z","2025-08-29T13:42:05.000Z","Completed","0.0",""
"00TOJ00000fJ39R2AS","Email: Your call insights are ready! Investment Team (2025-09-03, 10:00 a.m.)","005OJ0000085oqnYAA","2025-09-03","2025-09-03T15:14:59.000Z","2025-09-03T15:14:59.000Z","Completed","0.0",""
"00TOJ00000fPlIg2AK","Email: Your call insights are ready! Salesforce Project Meeting (2025-09-04, 11:00 a.m.)","005OJ0000085oqnYAA","2025-09-04","2025-09-04T16:14:44.000Z","2025-09-04T16:14:44.000Z","Completed","0.0",""
"00TOJ00000fWDxC2AW","Email: Your call insights are ready! LDIC Quarterly Review: Matt Hill, Tina Svedahl, Michael Decter & Gino DiMonte (2025-09-05, 1:00 p.m.)","005OJ0000085oqnYAA","2025-09-05","2025-09-05T17:42:39.000Z","2025-09-05T17:42:39.000Z","Completed","0.0",""
"00TOJ00000fWFAo2AO","Email: Your call insights are ready! McCarthy re; health book (2025-09-05, 12:00 p.m.)","005OJ0000085oqnYAA","2025-09-05","2025-09-05T16:43:02.000Z","2025-09-05T16:43:02.000Z","Completed","0.0",""
"00TOJ00000fxkYr2AI","Email: Your call insights are ready! Vinton/Salesforce Test (2025-09-11, 11:00 a.m.)","005OJ00000CwzAfYAJ","2025-09-11","2025-09-11T15:06:05.000Z","2025-09-11T15:06:05.000Z","Completed","0.0",""
"00TOJ00000fyvWt2AI","Email: Your call insights are ready! Investment Team (2025-09-10, 10:00 a.m.)","005OJ00000CwzAfYAJ","2025-09-11","2025-09-11T17:17:19.000Z","2025-09-11T17:17:19.000Z","Completed","0.0",""
"00TOJ00000fzZT12AM","Email: Your call insights are ready! Salesforce Project Meeting (2025-09-11, 2:30 p.m.)","005OJ00000CwzAfYAJ","2025-09-11","2025-09-11T19:27:02.000Z","2025-09-11T19:27:02.000Z","Completed","0.0",""
"00TOJ00000g3aDI2AY","Email: Your call insights are ready! Client Meeting: Anika Vanwyck, Andrew Pink & Nicole De Munck (2025-09-12, 11:00 a.m.)","005OJ00000CwzAfYAJ","2025-09-12","2025-09-12T15:33:15.000Z","2025-09-12T15:33:15.000Z","Completed","0.0",""
"00TOJ00000gP1gf2AC","Email: Your call insights are ready! Investment Team (2025-09-17, 10:00 a.m.)","005OJ00000CwzAfYAJ","2025-09-17","2025-09-17T15:18:05.000Z","2025-09-17T15:18:05.000Z","Completed","0.0",""
"00TOJ00000gUuUR2A0","Email: Your note insights are ready! Meeting Recording Guidelines","005OJ00000CwzAfYAJ","2025-09-18","2025-09-18T15:21:47.000Z","2025-09-18T15:21:47.000Z","Completed","0.0",""
"00TOJ00000gbFmI2AU","Email: Your call insights are ready! McCarthy re; health book (2025-09-19, 9:00 a.m.)","005OJ00000CwzAfYAJ","2025-09-19","2025-09-19T15:46:38.000Z","2025-09-19T15:46:38.000Z","Completed","0.0",""
"00TOJ00000gcYqG2AU","Email: Your call insights are ready! Client Call: Thomas & Afsoon Ponniah (MD/ND) (2025-09-19, 1:30 p.m.)","005OJ00000CwzAfYAJ","2025-09-19","2025-09-19T17:53:53.000Z","2025-09-19T17:53:53.000Z","Completed","0.0",""
"00TOJ00000gsE2r2AE","Email: Your call insights are ready! VM2 (2025-09-23, 2:00 p.m.)","005OJ00000CwzAfYAJ","2025-09-23","2025-09-23T18:32:09.000Z","2025-09-23T18:32:09.000Z","Completed","0.0",""
"00TOJ00000gyN1f2AE","Email: Your call insights are ready! Client Call: Paula Trefler, Fran Grundman, Michael Decter & Nicole De Munck (2025-09-24, 1:00 p.m.)","005OJ00000CwzAfYAJ","2025-09-24","2025-09-24T17:47:21.000Z","2025-09-24T17:47:21.000Z","Completed","0.0",""
"00TOJ00000h2Npj2AE","Email: Your call insights are ready! Client Call: Jordan Sewell, Andrew Pink & Nicole De Munck (2025-09-25, 10:00 a.m.)","005OJ00000CwzAfYAJ","2025-09-25","2025-09-25T14:34:50.000Z","2025-09-25T14:34:50.000Z","Completed","0.0",""
"00TOJ00000h35NS2AY","Email: Your call insights are ready! Investment Team (2025-09-25, 10:30 a.m.)","005OJ00000CwzAfYAJ","2025-09-25","2025-09-25T15:15:04.000Z","2025-09-25T15:15:04.000Z","Completed","0.0",""
"00TOJ00000h3gP02AI","Email: Your call insights are ready! Salesforce Project Meeting (2025-09-25, 11:30 a.m.)","005OJ00000CwzAfYAJ","2025-09-25","2025-09-25T17:00:43.000Z","2025-09-25T17:00:43.000Z","Completed","0.0",""
"00TOJ00000h4bZz2AI","Email: Your call insights are ready! TEST (2025-09-25, 2:00 p.m.)","005OJ00000CwzAfYAJ","2025-09-25","2025-09-25T18:02:31.000Z","2025-09-25T18:02:31.000Z","Completed","0.0",""
"00TOJ00000hIhc32AC","Email: Your call insights are ready! Client Meeting: Andrew Shapransky, Gabi Mozer, Andrew Pink & Nicole De Munck (2025-09-29, 11:00 a.m.)","005OJ00000CwzAfYAJ","2025-09-29","2025-09-29T15:56:04.000Z","2025-09-29T15:56:04.000Z","Completed","0.0",""
"00TOJ00000hNjev2AC","Email: Your in person meeting insights are ready: Client Portfolio Review Summary (2025-09-30, 10:19 a.m.)","005OJ00000CwzAfYAJ","2025-09-30","2025-09-30T14:19:43.000Z","2025-09-30T14:19:43.000Z","Completed","0.0",""
